Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v2/models/gliner_guard/infer,98087,0,600,674.4583724502611,166.70445899944752,16661.9481250018,239.29105793836084,146.63410379272486,0.0,600,830,880,910,1000,1200,1700,1900,2400,5600,17000
,Aggregated,98087,0,600,674.4583724502611,166.70445899944752,16661.9481250018,239.29105793836084,146.63410379272486,0.0,600,830,880,910,1000,1200,1700,1900,2400,5600,17000
