Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
gRPC,/v2/models/gliner_guard/infer,134031,0,600,666.0644688618802,173.71745799755445,10216.337458005,0.0,149.04783216160445,0.0,600,760,870,910,1000,1100,1300,1500,2500,9200,10000
,Aggregated,134031,0,600,666.0644688618802,173.71745799755445,10216.337458005,0.0,149.04783216160445,0.0,600,760,870,910,1000,1100,1300,1500,2500,9200,10000
