Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
gRPC,/v2/models/gliner_ensemble/infer,20024,0,3800,4438.82048102066,377.2093329753261,18847.128082998097,0.0,22.283182036223764,0.0,3800,5100,5800,6300,8200,10000,11000,13000,17000,17000,19000
,Aggregated,20024,0,3800,4438.82048102066,377.2093329753261,18847.128082998097,0.0,22.283182036223764,0.0,3800,5100,5800,6300,8200,10000,11000,13000,17000,17000,19000
