Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
gRPC,/v2/models/gliner_guard/infer,133032,0,620,669.8233747952912,246.12587499723304,3849.9357500113547,0.0,148.24447072899974,0.0,620,770,910,940,990,1000,1400,1600,1800,2500,3800
,Aggregated,133032,0,620,669.8233747952912,246.12587499723304,3849.9357500113547,0.0,148.24447072899974,0.0,620,770,910,940,990,1000,1400,1600,1800,2500,3800
