Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
gRPC,/v2/models/gliner_ensemble/infer,77086,0,1200,1158.4835417168865,267.0395839959383,2596.3315830158535,0.0,85.76242988329352,0.0,1200,1200,1200,1200,1200,1300,1300,1400,1800,2200,2600
,Aggregated,77086,0,1200,1158.4835417168865,267.0395839959383,2596.3315830158535,0.0,85.76242988329352,0.0,1200,1200,1200,1200,1200,1300,1300,1400,1800,2200,2600
