Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v2/models/gliner_ensemble/infer,111691,1,790,799.0605286505271,256.855584011646,60007.610667002155,304.14595625430877,124.21551967304723,0.0011121354421846632,790,810,840,860,890,1000,1100,1300,2000,12000,60000
,Aggregated,111691,1,790,799.0605286505271,256.855584011646,60007.610667002155,304.14595625430877,124.21551967304723,0.0011121354421846632,790,810,840,860,890,1000,1100,1300,2000,12000,60000
