Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v2/models/gliner_ensemble/infer,121011,0,700,737.2394522388665,248.28441700083204,36643.71616599965,304.15002768343373,134.58363437350107,0.0,700,730,770,800,970,1100,1300,1500,2500,9600,37000
,Aggregated,121011,0,700,737.2394522388665,248.28441700083204,36643.71616599965,304.15002768343373,134.58363437350107,0.0,700,730,770,800,970,1100,1300,1500,2500,9600,37000
